,left,right
1065,19395500,8559525
1066,19470184,3732322
1067,19611917,8138616
1068,19785305,9094797
1069,19880680,9806510
1070,19880740,16223688
1071,19881737,2505266
1072,19884188,10945581
1073,19919566,1137946
1074,19929273,20479959
1075,20139548,17380345
1076,20151537,12474815
1077,20172310,9521722
1078,20981350,8715940
1079,20343986,2881070
1080,20379247,17658602
1081,20421224,17466463
1082,20556072,17025508
1083,20730780,9202326
1084,11986594,6218461
1085,14329745,19786464
1086,18929470,6700147
1087,8391330,5993765
1088,17777031,15672263
1089,17736641,20911955
1090,4926999,21664445
1091,17729335,8592501
1092,3797420,5558724
1093,5768240,1805418
1094,5746180,20443501
1095,7955278,12026822
1096,17353986,18604097
1097,16561660,13652117
1098,10355356,5898284
1099,15513540,5790355
1100,15512404,5786898
1101,16952665,6154921
1102,11029359,3232277
1103,16096934,13049485
1104,17732737,2663649
1105,20981306,2842451
1106,17574013,9085808
1107,19835787,17380309
1108,11197975,7692008
1109,17729418,5523203
1110,3882998,11261332
1111,19102929,15668869
1112,21220994,8229118
1113,11003696,3167039
1114,2379529,3815483
1115,15005403,15894178
1116,15680043,15680292
1117,17067625,16340011
1118,12371688,9811608
1119,16059134,10725068
1120,17354403,12030078
1121,12273754,17654624
1122,12424328,16457812
1123,16863538,20443362
1124,19051631,8193545
1125,17224013,14759661
1126,17464168,8641784
1127,16595001,21591033
1128,16670540,16950443
1129,15632371,15673715
1130,15524852,9060993
1131,16501652,10877689
1132,8273369,4247099
1133,8877795,3805641
1134,11105182,10158972
1135,1980134,7982307
1136,9787859,11941255
1137,17732426,12989453
1138,12740290,2432564
1139,16283590,17588623
1140,2910892,2885630
1141,17736654,20911961
1142,21133456,18341449
1143,11717040,21590962
1144,18106257,17031293
1145,8398900,1869592
1146,11717020,8954310
1147,16851577,16950798
1148,8723983,16115255
1149,4663875,11271082
1150,16444544,8981761
1151,5778133,21590958
1152,5712849,3166836
1153,20981321,2878185
1154,17933822,3163105
1155,10961507,3232808
1156,17468727,4127938
1157,17360014,9698907
1158,20812872,10739296
1159,11717045,21590978
1160,16014701,16574328
1161,18695745,17587734
1162,12736001,15155348
1163,17736748,17639824
1164,10358617,17298108
1165,17732071,18909888
1166,17827011,17654973
1167,8070872,12422147
1168,20316708,19167389
1169,16667306,16520950
1170,11717035,21591317
1171,17165429,9513911
1172,11105182,10158972
